,movie_title,actor_name,actor_id
223,gravity,Phaldut Sharma,58587.0
224,dante's peak,Jamie RenÃ©e Smith,
225,teenage mutant ninja turtles: out of the shadows,Stephen Amell,76110.0
226,night at the museum,Robin Williams,2157.0
227,san andreas,Dwayne Johnson,18918.0
228,tomorrow never dies,Vincent Schiavelli,3418.0
229,the patriot,Heath Ledger,1810.0
230,ocean's twelve,Brad Pitt,287.0
231,mr. & mrs. smith,Brad Pitt,287.0
232,insurgent,Kate Winslet,204.0
233,the aviator,Leonardo DiCaprio,6193.0
234,gulliver's travels,James Corden,55466.0
235,the green hornet,Christoph Waltz,27319.0
236,the a-teamÂ            ,George Peppard,1933.0
237,300: rise of an empire,Eva Green,10912.0
238,the smurfs,Mahadeo Shivraj,1828997.0
239,home on the range,Steve Buscemi,884.0
240,allegiant,Naomi Watts,3489.0
241,real steel,Hugh Jackman,6968.0
242,the smurfs 2,Jacob Tremblay,1277188.0
243,speed 2: cruise control,Jason Patric,12261.0
244,ender's game,Harrison Ford,3.0
245,live free or die hard,Bruce Willis,62.0
246,the lord of the rings: the fellowship of the ring,Christopher Lee,113.0
247,ali,Will Smith,2888.0
248,the cat in the hat,Sean Hayes,52601.0
249,"i, robot",Will Smith,2888.0
250,kingdom of heaven,Liam Neeson,3896.0
251,stuart little,Chazz Palminteri,9046.0
252,the princess and the frog,Oprah Winfrey,13309.0
253,the martian,Matt Damon,1892.0
254,"10,000 b.c.Â            ",Mathew Buck,5125574.0
255,town & country,Del Zamora,100062.0
256,gone in sixty seconds,Nicolas Cage,2963.0
257,gladiator,Djimon Hounsou,938.0
258,minority report,Tom Cruise,500.0
259,harry potter and the chamber of secrets,Daniel Radcliffe,10980.0
260,terminator 2: judgment day,Joe Morton,3977.0
261,public enemies,Johnny Depp,85.0
262,american gangster,Denzel Washington,5292.0
263,true lies,Jamie Lee Curtis,8944.0
264,the taking of pelham 1 2 3,Denzel Washington,5292.0
265,little fockers,Robert De Niro,380.0
266,the other guys,Dwayne Johnson,18918.0
267,eraser,Vanessa Williams,543193.0
268,django unchained,Leonardo DiCaprio,6193.0
269,the hunchback of notre dame,Demi Moore,3416.0
270,the emperor's new groove,Eartha Kitt,70243.0
271,the expendables 2,Jason Statham,976.0
272,national treasure,Nicolas Cage,2963.0
273,eragon,Djimon Hounsou,938.0
274,where the wild things are,Catherine O'Hara,11514.0
275,epic,Josh Hutcherson,27972.0
276,end of days,CCH Pounder,30485.0
277,blood diamond,Leonardo DiCaprio,6193.0
278,the wolf of wall street,Leonardo DiCaprio,6193.0
279,batman forever,Michael Gough,3796.0
280,starship troopers,Jake Busey,28410.0
281,cloud atlas,Tom Hanks,31.0
282,legend of the guardians: the owls of ga'hoole,Abbie Cornish,37260.0
283,catwoman,Frances Conroy,4432.0
284,treasure planet,Joseph Gordon-Levitt,24045.0
285,land of the lost,Will Ferrell,23659.0
286,the expendables 3,Jason Statham,976.0
287,son of the mask,Jamie Kennedy,6213.0
288,in the heart of the sea,Chris Hemsworth,74568.0
289,the adventures of pluto nash,Rosario Dawson,5916.0
290,green zone,Matt Damon,1892.0
291,the peanuts movie,Francesca Capaldi,1256036.0
292,the spanish prisoner,Ben Gazzara,856.0
293,the mummy returns,Dwayne Johnson,18918.0
294,gangs of new york,Leonardo DiCaprio,6193.0
295,the flowers of war,Christian Bale,3894.0
296,surf's up,Jeff Bridges,1229.0
297,the stepford wives,Jon Lovitz,16165.0
298,black hawk down,Ioan Gruffudd,65524.0
299,the campaign,Will Ferrell,23659.0
300,the fifth element,Milla Jovovich,63.0
301,sex and the city 2,Chris Noth,38026.0
302,the road to el dorado,Frank Welker,15831.0
303,ice age: continental drift,Peter Dinklage,22970.0
304,finding nemo,Alexander Gould,12.0
305,the lord of the rings: the return of the king,Orlando Bloom,114.0
306,the lord of the rings: the two towers,Christopher Lee,113.0
307,seventh son,Jeff Bridges,1229.0
308,lara croft: tomb raider,Angelina Jolie Pitt,
309,transcendence,Johnny Depp,85.0
310,jurassic park iii,Michael Jeter,2169.0
311,rise of the planet of the apes,James Franco,17051.0
312,the spiderwick chronicles,Martin Short,519.0
313,a good day to die hard,Bruce Willis,62.0
314,the incredibles,Holly Hunter,18686.0
315,cutthroat island,Christopher Masterson,35769.0
316,percy jackson & the olympians: the lightning thief,Logan Lerman,33235.0
317,men in black,Will Smith,2888.0
318,toy story 2,Tom Hanks,31.0
319,unstoppable,Denzel Washington,5292.0
320,rush hour 2,Mei MelanÃ§on,
321,what lies beneath,Harrison Ford,3.0
322,cloudy with a chance of meatballs,Will Forte,62831.0
323,ice age: dawn of the dinosaurs,Denis Leary,5724.0
324,the secret life of walter mitty,Adam Scott,36801.0
325,charlie's angels,Bill Murray,1532.0
326,the departed,Leonardo DiCaprio,6193.0
327,mulan,Ming-Na Wen,21702.0
328,tropic thunder,Robert Downey Jr.,3223.0
329,the girl with the dragon tattoo,Robin Wright,32.0
330,die hard with a vengeance,Bruce Willis,62.0
331,sherlock holmes,Robert Downey Jr.,3223.0
332,atlantis: the lost empire,Leonard Nimoy,1749.0
333,alvin and the chipmunks: the road chip,Bella Thorne,98285.0
334,valkyrie,Tom Cruise,500.0
335,you don't mess with the zohan,Adam Sandler,19292.0
336,pixels,Peter Dinklage,22970.0
337,a.i. artificial intelligence,Haley Joel Osment,9640.0
338,the haunted mansion,Marsha Thomason,36219.0
339,contact,Matthew McConaughey,10297.0
340,hollow man,Greg Grunberg,17305.0
341,the interpreter,Curtiss Cook,2254.0
342,percy jackson: sea of monsters,Logan Lerman,33235.0
343,lara croft tomb raider: the cradle of life,Gerard Butler,17276.0
344,now you see me 2,Daniel Radcliffe,10980.0
345,spy game,Brad Pitt,287.0
346,mission to mars,Don Cheadle,1896.0
347,rio,Anne Hathaway,1813.0
348,bicentennial man,Robin Williams,2157.0
349,volcano,Don Cheadle,1896.0
350,the devil's own,Harrison Ford,3.0
351,k-19: the widowmaker,Liam Neeson,3896.0
352,fantastic four,Tim Blake Nelson,1462.0
353,cinderella man,Paddy Considine,14887.0
354,the nutcracker in 3d,Shirley Henderson,1834.0
355,seabiscuit,Jeff Bridges,1229.0
356,twister,Philip Seymour Hoffman,1233.0
357,cast away,Tom Hanks,31.0
358,happy feet,Robin Williams,2157.0
359,the bourne supremacy,Matt Damon,1892.0
360,air force one,Harrison Ford,3.0
361,ocean's eleven,Brad Pitt,287.0
362,the three musketeers,Milla Jovovich,63.0
363,hotel transylvania,Steve Buscemi,884.0
364,enchanted,Jeff Bennett,34982.0
365,hannibalÂ            ,Caroline Dhavernas,31383.0
366,safe house,Denzel Washington,5292.0
367,102 dalmatians,Ioan Gruffudd,65524.0
368,tower heist,Matthew Broderick,4756.0
369,the holiday,Kate Winslet,204.0
370,enemy of the state,Will Smith,2888.0
371,it's complicated,Meryl Streep,5064.0
372,ocean's thirteen,Al Pacino,1158.0
373,open season,Jon Favreau,15277.0
374,divergent,Kate Winslet,204.0
375,enemy at the gates,Bob Hoskins,382.0
376,the rundown,Dwayne Johnson,18918.0
377,last action hero,F. Murray Abraham,1164.0
378,memoirs of a geisha,Li Gong,643.0
379,the fast and the furious: tokyo drift,Amber Stevens West,1187106.0
380,arthur christmas,Jim Broadbent,388.0
381,meet joe black,Anthony Hopkins,4173.0
382,collateral damage,Raymond Cruz,58650.0
383,all that jazz,Roy Scheider,6355.0
384,mirror mirror,Julia Roberts,1204.0
385,scott pilgrim vs. the world,Anna Kendrick,84223.0
386,the core,Glenn Morshower,12797.0
387,nutty professor ii: the klumps,Larry Miller,1211.0
388,scooby-doo,Sarah Michelle Gellar,11863.0
389,click,Adam Sandler,19292.0
390,cats & dogs: the revenge of kitty galore,Jack McBrayer,58737.0
391,jumper,Kristen Stewart,37917.0
392,hellboy ii: the golden army,Seth MacFarlane,52139.0
393,zodiac,Robert Downey Jr.,3223.0
394,the 6th day,Robert Duvall,3087.0
395,bruce almighty,Morgan Freeman,192.0
396,the expendables,Jason Statham,976.0
397,mission: impossible,Tom Cruise,500.0
398,the hunger games,Jennifer Lawrence,72129.0
399,the hangover part ii,Bradley Cooper,51329.0
400,batman returns,Michael Gough,3796.0
401,over the hedge,Bruce Willis,62.0
402,lilo & stitch,Tia Carrere,13445.0
403,charlotte's web,Steve Buscemi,884.0
404,deep impact,Morgan Freeman,192.0
405,red 2,Bruce Willis,62.0
406,the longest yard,Adam Sandler,19292.0
407,alvin and the chipmunks: chipwrecked,Amy Poehler,56322.0
408,grown ups 2,Steve Buscemi,884.0
409,get smart,Bill Murray,1532.0
410,something's gotta give,Keanu Reeves,6384.0
411,shutter island,Leonardo DiCaprio,6193.0
412,four christmases,Jon Favreau,15277.0
413,robots,Jim Broadbent,388.0
414,face/off,Nicolas Cage,2963.0
415,bedtime stories,Adam Sandler,19292.0
416,road to perdition,Tom Hanks,31.0
417,just go with it,Adam Sandler,19292.0
418,daredevilÂ            ,Elden Henson,20220.0
419,con air,Steve Buscemi,884.0
420,eagle eye,Rosario Dawson,5916.0
421,cold mountain,Philip Seymour Hoffman,1233.0
422,the book of eli,Denzel Washington,5292.0
423,flubber,Robin Williams,2157.0
424,the haunting,Liam Neeson,3896.0
425,space jam,Bill Murray,1532.0
426,the pink panther,Roger Rees,16407.0
427,conspiracy theory,Julia Roberts,1204.0
428,fury,Brad Pitt,287.0
429,six days seven nights,Harrison Ford,3.0
430,yogi bear,Justin Timberlake,12111.0
431,spirit: stallion of the cimarron,Matt Damon,1892.0
432,zookeeper,Rosario Dawson,5916.0
433,lost in space,Gary Oldman,64.0
434,the manchurian candidate,Denzel Washington,5292.0
435,dÃ©jÃ  vu,Vanessa Redgrave,13333.0
436,hotel transylvania 2,Steve Buscemi,884.0
437,bewitchedÂ            ,Elizabeth Montgomery,43975.0
438,fantasia 2000,Quincy Jones,13301.0
439,the time machine,Mark Addy,13633.0
440,mighty joe young,Charlize Theron,6885.0
441,swordfish,Hugh Jackman,6968.0
442,the legend of zorro,Michael Emerson,2136.0
443,what dreams may come,Robin Williams,2157.0
444,little nicky,Adam Sandler,19292.0
445,the brothers grimm,Matt Damon,1892.0
446,mars attacks!,Natalie Portman,524.0
447,evolution,Nissim Renard,1616031.0
448,the edge,Anthony Hopkins,4173.0
449,surrogates,Bruce Willis,62.0
450,thirteen days,Bruce Greenwood,21089.0
451,daylight,Sylvester Stallone,16483.0
452,walking with dinosaurs 3d,Charlie Rowe,142389.0
453,battlefield earth,Richard Tyson,14700.0
454,looney tunes: back in action,Brendan Fraser,18269.0
455,nine,Fergie,20497.0
456,timeline,Paul Walker,8167.0
457,the postman,Olivia Williams,11616.0
458,babe: pig in the city,Adam Goldberg,6163.0
459,the last witch hunter,Vin Diesel,12835.0
460,red planet,Bob Neill,72637.0
461,arthur and the invisibles,Mia Farrow,12021.0
